action,assetClass,blockTradeIndicator,cleared,customBasketIndicator,deliveryType,disseminationIdentifier,disseminationTimestamp,effectiveDate,event,eventDateTime,executionDateTime,expirationDate,instrumentType,leg1FixedRateDayCount,leg1FloatingRateDayCount,leg1NotionalAmount,leg1NotionalCurrency,leg1NotionalScheduleType,leg1SettlementCurrency,leg1UnderlyingAssetOrContractType,leg2FloatingRateDayCount,leg2NotionalAmount,leg2NotionalCurrency,leg2NotionalScheduleType,leg2ResetFrequencyMultiplier,leg2SettlementCurrency,nonStandardTermIndicator,packageIndicator,platformID,postPricedSwapIndicator,primeBrokerageTransactionIndicator,productName,sDRreceiptTimestamp,leg1FixedRate,leg1FixedRatePaymentFrequencyMultiplier,leg1FixedRatePaymentFrequencyPeriod,leg2FloatingRatePaymentFrequencyMultiplier,leg2FloatingRatePaymentFrequencyPeriod,leg2UnderlierCurrency,leg2UnderlierID,leg2UnderlierIDSource,leg2UnderlierTenorMultiplier,leg2UnderlierTenorPeriod,leg2ResetFrequencyPeriod
NEWT,IR,,Y,FALSE,CASH,SDRIR78732705,disseminationTimestamp,2023-12-20,TRAD,2023-01-30T09:25:54Z,2023-01-30T09:25:54Z,2027-12-20,Swap,A005,A005,6000000,ZAR,Constant,ZAR,Fixed-Floating,A005,6000000,ZAR,Constant,3,ZAR,,FALSE,,FALSE,,IRS ZAR 4Y,2023-01-31T14:24:20Z,0.07685,3,MNTH,3,MNTH,ZAR,ZAR-JIBAR,JIBAR,4,YEAR,MNTH
NEWT,IR,,Y,FALSE,CASH,SDRIR78732723,disseminationTimestamp,2023-01-30,TRAD,2023-01-30T19:55:38Z,2023-01-30T19:55:38Z,2025-01-30,Swap,A005,A005,110000000,CAD,Constant,CAD,Fixed-Floating,A005,110000000,CAD,Constant,3,CAD,,FALSE,,FALSE,,IRS CAD 2Y,2023-01-31T14:24:20Z,0.04221,6,MNTH,3,MNTH,CAD,CAD-CDOR,CDOR,2,YEAR,MNTH
NEWT,IR,,Y,FALSE,CASH,SDRIR78732707,disseminationTimestamp,2023-02-01,TRAD,2023-01-30T10:03:33Z,2023-01-30T10:03:33Z,2028-02-01,Swap,A005,A005,29000000,ILS,Constant,ILS,Fixed-Floating,A005,29000000,ILS,Constant,3,ILS,,FALSE,,FALSE,,IRS ILS 5Y,2023-01-31T14:24:20Z,0.0333,1,YEAR,3,MNTH,ILS,ILS-TELBOR,TELBOR,5,YEAR,MNTH
NEWT,IR,,Y,FALSE,CASH,SDRIR78732708,disseminationTimestamp,2023-04-05,TRAD,2023-01-30T12:08:06Z,2023-01-30T12:08:06Z,2023-05-03,Swap,A005,A005,2000000000,AUD,Constant,AUD,OIS,A005,2000000000,AUD,Constant,1,AUD,,FALSE,,FALSE,,OIS AUD broken,2023-01-31T14:24:20Z,0.0359,1,DAIL,1,DAIL,AUD,AUD-AONIA-OIS Compound,OIS Compound,1,MNTH,DAIL
NEWT,IR,,Y,FALSE,CASH,SDRIR78732709,disseminationTimestamp,2023-05-03,TRAD,2023-01-30T12:08:06Z,2023-01-30T12:08:06Z,2023-06-07,Swap,A005,A005,2000000000,AUD,Constant,AUD,OIS,A005,2000000000,AUD,Constant,1,AUD,,FALSE,,FALSE,,OIS AUD broken,2023-01-31T14:24:20Z,0.036875,1,DAIL,1,DAIL,AUD,AUD-AONIA-OIS Compound,OIS Compound,1,MNTH,DAIL
NEWT,IR,,Y,FALSE,CASH,SDRIR78732710,disseminationTimestamp,2023-03-08,TRAD,2023-01-30T12:08:06Z,2023-01-30T12:08:06Z,2023-04-05,Swap,A005,A005,2000000000,AUD,Constant,AUD,OIS,A005,2000000000,AUD,Constant,1,AUD,,FALSE,,FALSE,,OIS AUD broken,2023-01-31T14:24:20Z,0.0348,1,DAIL,1,DAIL,AUD,AUD-AONIA-OIS Compound,OIS Compound,1,MNTH,DAIL
NEWT,IR,,Y,FALSE,CASH,SDRIR78732711,disseminationTimestamp,2041-11-11,TRAD,2023-01-30T17:34:24Z,2023-01-30T17:34:24Z,2051-11-11,Swap,A001,A001,160000000,EUR,Constant,EUR,Fixed-Floating,A004,160000000,EUR,Constant,6,EUR,,FALSE,,FALSE,,IRS EUR 10Y,2023-01-31T14:24:20Z,0.01453,1,YEAR,6,MNTH,EUR,EUR-EURIBOR,EURIBOR,10,YEAR,MNTH
NEWT,IR,,Y,FALSE,CASH,SDRIR78732712,disseminationTimestamp,2023-03-22,TRAD,2023-01-30T15:55:56Z,2023-01-30T15:55:56Z,2023-05-03,Swap,A004,A004,4000000000,USD,Constant,USD,OIS,A004,4000000000,USD,Constant,1,USD,,FALSE,,FALSE,,OIS USD broken,2023-01-31T14:24:20Z,0.04804,1,DAIL,1,DAIL,USD,USD-Federal Funds-H.15-OIS-COMPOUND,COMPOUND,2,MNTH,DAIL
NEWT,IR,,Y,FALSE,CASH,SDRIR78732713,disseminationTimestamp,2041-11-11,TRAD,2023-01-30T17:34:24Z,2023-01-30T17:34:24Z,2051-11-11,Swap,A001,A001,180000000,EUR,Constant,EUR,Fixed-Floating,A004,180000000,EUR,Constant,6,EUR,,FALSE,,FALSE,,IRS EUR 10Y,2023-01-31T14:24:20Z,0.01448,1,YEAR,6,MNTH,EUR,EUR-EURIBOR,EURIBOR,10,YEAR,MNTH
NEWT,IR,,Y,FALSE,CASH,SDRIR78732714,disseminationTimestamp,2052-04-15,TRAD,2023-01-30T17:34:24Z,2023-01-30T17:34:24Z,2072-04-15,Swap,A001,A001,120000000,EUR,Constant,EUR,Fixed-Floating,A004,120000000,EUR,Constant,6,EUR,,FALSE,,FALSE,,IRS EUR 20Y,2023-01-31T14:24:20Z,0.00877,1,YEAR,6,MNTH,EUR,EUR-EURIBOR,EURIBOR,20,YEAR,MNTH
NEWT,IR,,Y,FALSE,CASH,SDRIR78732715,disseminationTimestamp,2023-03-09,TRAD,2023-01-30T21:30:11Z,2023-01-30T21:30:11Z,2023-04-13,Swap,A005,A005,2000000000,CAD,Constant,CAD,OIS,A005,2000000000,CAD,Constant,1,CAD,,FALSE,,FALSE,,OIS CAD broken,2023-01-31T14:24:20Z,0.0451,1,DAIL,1,DAIL,CAD,CAD-CORRA-OIS Compound,OIS Compound,1,MNTH,DAIL
NEWT,IR,,Y,FALSE,CASH,SDRIR78732716,disseminationTimestamp,2023-05-03,TRAD,2023-01-30T03:38:00Z,2023-01-30T03:38:00Z,2023-06-07,Swap,A005,A005,750000000,AUD,Constant,AUD,OIS,A005,750000000,AUD,Constant,1,AUD,,FALSE,,FALSE,,OIS AUD broken,2023-01-31T14:24:20Z,0.037,1,DAIL,1,DAIL,AUD,AUD-AONIA-OIS Compound,OIS Compound,1,MNTH,DAIL
NEWT,IR,,Y,FALSE,CASH,SDRIR78732717,disseminationTimestamp,2023-12-06,TRAD,2023-01-30T03:38:00Z,2023-01-30T03:38:00Z,2024-02-07,Swap,A005,A005,410000000,AUD,Constant,AUD,OIS,A005,410000000,AUD,Constant,1,AUD,,FALSE,,FALSE,,OIS AUD broken,2023-01-31T14:24:20Z,0.037275,1,DAIL,1,DAIL,AUD,AUD-AONIA-OIS Compound,OIS Compound,2,MNTH,DAIL
NEWT,IR,,Y,FALSE,CASH,SDRIR78732718,disseminationTimestamp,2023-04-19,TRAD,2023-01-30T12:42:41Z,2023-01-30T12:42:41Z,2023-12-19,Swap,A001,A001,40000000,EUR,Constant,EUR,Fixed-Floating,A004,40000000,EUR,Constant,3,EUR,,FALSE,,FALSE,,IRS EUR 1Y,2023-01-31T14:24:20Z,0.0346,1,YEAR,3,MNTH,EUR,EUR-EURIBOR,EURIBOR,8,MNTH,MNTH
NEWT,IR,,Y,FALSE,CASH,SDRIR78732719,disseminationTimestamp,2041-11-11,TRAD,2023-01-30T17:34:24Z,2023-01-30T17:34:24Z,2051-11-11,Swap,A001,A001,41000000,EUR,Constant,EUR,Fixed-Floating,A004,41000000,EUR,Constant,6,EUR,,FALSE,,FALSE,,IRS EUR 10Y,2023-01-31T14:24:20Z,0.0145504,1,YEAR,6,MNTH,EUR,EUR-EURIBOR,EURIBOR,10,YEAR,MNTH
NEWT,IR,,Y,FALSE,CASH,SDRIR78732720,disseminationTimestamp,2052-04-15,TRAD,2023-01-30T17:34:24Z,2023-01-30T17:34:24Z,2072-04-15,Swap,A001,A001,25000000,EUR,Constant,EUR,Fixed-Floating,A004,25000000,EUR,Constant,6,EUR,,FALSE,,FALSE,,IRS EUR 20Y,2023-01-31T14:24:20Z,0.0088504,1,YEAR,6,MNTH,EUR,EUR-EURIBOR,EURIBOR,20,YEAR,MNTH
NEWT,IR,,Y,FALSE,CASH,SDRIR78732721,disseminationTimestamp,2023-01-30,TRAD,2023-01-30T12:28:25Z,2023-01-30T12:28:25Z,2026-01-30,Swap,A005,A005,75000000,CAD,Constant,CAD,Fixed-Floating,A005,75000000,CAD,Constant,3,CAD,,FALSE,,FALSE,,IRS CAD 3Y,2023-01-31T14:24:20Z,0.03745,6,MNTH,3,MNTH,CAD,CAD-CDOR,CDOR,3,YEAR,MNTH
NEWT,IR,,Y,FALSE,CASH,SDRIR78732722,disseminationTimestamp,2023-06-21,TRAD,2023-01-30T14:50:48Z,2023-01-30T14:50:48Z,2028-06-21,Swap,A004,A004,120000,CLP,Constant,CLP,Fixed-Floating,A004,120000,CLP,Constant,6,CLP,,FALSE,,FALSE,,IRS CLP 5Y,2023-01-31T14:24:20Z,0.050775,6,MNTH,6,MNTH,CLP,CLP-ICP,ICP,5,YEAR,MNTH
NEWT,IR,,Y,FALSE,CASH,SDRIR78732706,disseminationTimestamp,2023-12-20,TRAD,2023-01-30T09:25:54Z,2023-01-30T09:25:54Z,2027-12-20,Swap,A005,A005,6000000,ZAR,Constant,ZAR,Fixed-Floating,A005,6000000,ZAR,Constant,3,ZAR,,FALSE,,FALSE,,IRS ZAR 4Y,2023-01-31T14:24:20Z,0.0759,3,MNTH,3,MNTH,ZAR,ZAR-JIBAR,JIBAR,4,YEAR,MNTH
NEWT,IR,,Y,FALSE,CASH,SDRIR78739190,disseminationTimestamp,2023-03-15,TRAD,2023-01-31T14:56:54Z,2023-01-31T14:56:54Z,2028-03-15,Swap,A005,A005,1000000,ILS,Constant,ILS,Fixed-Floating,A005,1000000,ILS,Constant,3,ILS,,FALSE,,FALSE,,IRS ILS 5Y,2023-02-01T12:53:20Z,0.03179,1,YEAR,3,MNTH,ILS,ILS-TELBOR,TELBOR,5,YEAR,MNTH
